goos: darwin
goarch: arm64
pkg: github.com/pelletier/go-toml/v2/benchmark
BenchmarkRealWorldPyproject-8              	   54180	     21866 ns/op	  52.78 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   55254	     22438 ns/op	  51.43 MB/s	   24229 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54546	     21874 ns/op	  52.76 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   55240	     21893 ns/op	  52.71 MB/s	   24229 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54942	     22450 ns/op	  51.40 MB/s	   24229 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54633	     22732 ns/op	  50.76 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54747	     22073 ns/op	  52.28 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54559	     21891 ns/op	  52.72 MB/s	   24229 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54412	     22791 ns/op	  50.63 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldPyproject-8              	   54256	     22635 ns/op	  50.98 MB/s	   24228 B/op	     407 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  140422	      8405 ns/op	  83.29 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  143319	      8611 ns/op	  81.29 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  134516	      8563 ns/op	  81.74 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  142473	      8464 ns/op	  82.70 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  144387	      8753 ns/op	  79.97 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  135162	      8651 ns/op	  80.92 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  140475	      8561 ns/op	  81.76 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  143584	      8559 ns/op	  81.79 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  141913	      8713 ns/op	  80.34 MB/s	   10216 B/op	     108 allocs/op
BenchmarkRealWorldGolangciStrict-8         	  127159	      8635 ns/op	  81.06 MB/s	   10216 B/op	     108 allocs/op
PASS
ok  	github.com/pelletier/go-toml/v2/benchmark	97.954s
