goos: linux
goarch: amd64
pkg: github.com/pelletier/go-toml/v2/benchmark
cpu: AMD Ryzen Threadripper PRO 3975WX 32-Cores     
BenchmarkUnmarshalDataset/config-8         	      21	  29284616 ns/op	  35.81 MB/s	 5716904 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      21	  26984038 ns/op	  38.86 MB/s	 5716843 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      22	  27325612 ns/op	  38.38 MB/s	 5716858 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      22	  26313624 ns/op	  39.85 MB/s	 5716824 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/config-8         	      24	  26581835 ns/op	  39.45 MB/s	 5716821 B/op	  219184 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	  99856564 ns/op	  22.05 MB/s	79942752 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	  96450606 ns/op	  22.82 MB/s	79942794 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	  94362892 ns/op	  23.33 MB/s	79942722 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	 102274357 ns/op	  21.52 MB/s	79942720 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/canada-8         	       6	  96816802 ns/op	  22.74 MB/s	79942773 B/op	  670379 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      15	  35061749 ns/op	  15.92 MB/s	34469272 B/op	  178003 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      15	  34622584 ns/op	  16.12 MB/s	34469297 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      15	  35166142 ns/op	  15.87 MB/s	34469326 B/op	  178004 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      16	  34636994 ns/op	  16.11 MB/s	34469413 B/op	  178005 allocs/op
BenchmarkUnmarshalDataset/citm_catalog-8   	      15	  33983109 ns/op	  16.42 MB/s	34469263 B/op	  178003 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      43	  13761541 ns/op	  32.11 MB/s	12530661 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      43	  13785420 ns/op	  32.05 MB/s	12530838 B/op	   55649 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      36	  13992878 ns/op	  31.58 MB/s	12530684 B/op	   55649 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      38	  14315588 ns/op	  30.87 MB/s	12530666 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/twitter-8        	      36	  14318885 ns/op	  30.86 MB/s	12530678 B/op	   55648 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 116740914 ns/op	  22.99 MB/s	21263264 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 115566301 ns/op	  23.22 MB/s	21263286 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 118742486 ns/op	  22.60 MB/s	21263331 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 118192493 ns/op	  22.71 MB/s	21263308 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/code-8           	       5	 115652276 ns/op	  23.21 MB/s	21263356 B/op	 1000520 allocs/op
BenchmarkUnmarshalDataset/example-8        	    2872	    201679 ns/op	  40.16 MB/s	  185190 B/op	    1327 allocs/op
BenchmarkUnmarshalDataset/example-8        	    2499	    218072 ns/op	  37.14 MB/s	  185205 B/op	    1327 allocs/op
BenchmarkUnmarshalDataset/example-8        	    2992	    204290 ns/op	  39.65 MB/s	  185200 B/op	    1327 allocs/op
BenchmarkUnmarshalDataset/example-8        	    2996	    224380 ns/op	  36.10 MB/s	  185196 B/op	    1327 allocs/op
BenchmarkUnmarshalDataset/example-8        	    3033	    217433 ns/op	  37.25 MB/s	  185204 B/op	    1327 allocs/op
BenchmarkUnmarshal/SimpleDocument/struct-8 	  785710	       735.8 ns/op	  14.95 MB/s	     805 B/op	       9 allocs/op
BenchmarkUnmarshal/SimpleDocument/struct-8 	  751629	       702.9 ns/op	  15.65 MB/s	     805 B/op	       9 allocs/op
BenchmarkUnmarshal/SimpleDocument/struct-8 	  794686	       684.4 ns/op	  16.07 MB/s	     805 B/op	       9 allocs/op
BenchmarkUnmarshal/SimpleDocument/struct-8 	  891906	       675.5 ns/op	  16.28 MB/s	     805 B/op	       9 allocs/op
BenchmarkUnmarshal/SimpleDocument/struct-8 	  812350	       665.3 ns/op	  16.53 MB/s	     805 B/op	       9 allocs/op
BenchmarkUnmarshal/SimpleDocument/map-8    	  562236	       970.7 ns/op	  11.33 MB/s	    1133 B/op	      13 allocs/op
BenchmarkUnmarshal/SimpleDocument/map-8    	  580868	      1147 ns/op	   9.59 MB/s	    1133 B/op	      13 allocs/op
BenchmarkUnmarshal/SimpleDocument/map-8    	  573234	      1033 ns/op	  10.65 MB/s	    1133 B/op	      13 allocs/op
BenchmarkUnmarshal/SimpleDocument/map-8    	  497652	      1011 ns/op	  10.88 MB/s	    1133 B/op	      13 allocs/op
BenchmarkUnmarshal/SimpleDocument/map-8    	  523880	      1041 ns/op	  10.56 MB/s	    1133 B/op	      13 allocs/op
